birch_cluster,count
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,3
31,1
32,1
33,1
34,1
35,1
36,1
37,2
38,1
39,1
40,292
41,14
42,3
43,8
44,3
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,2
54,1
55,2
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,5
70,1
71,1
72,1
73,2
74,1
75,1
76,1
77,3
78,1
79,1
80,2
81,1
82,1
83,1
84,1
85,2
86,1
87,1
88,1
89,2
90,1
91,2
92,2
93,1
94,3
95,3
96,1
97,1
98,1
99,1
100,1
101,11
102,2
103,6
104,2
105,3
106,6
107,1
108,1
109,1
110,1
111,1
112,3
113,1
114,1
115,1
116,1
117,358
118,6
119,3
120,2
121,3
122,52
123,313
124,1
125,1
126,2
127,6
128,1
129,2
130,1
131,1
132,30
133,40
134,6
135,2
136,1
137,335
138,420
139,534
140,676
141,23
142,8
143,4
144,9
145,49
146,1
147,5
148,1
149,203
150,40
151,14
152,7
153,19
154,10
155,5
156,2
157,3
158,1
159,236
160,1441
161,1
162,27
163,55
164,2
165,21
166,1
167,3
168,8
169,34
170,18
171,24
172,2
173,40
174,5
175,1
176,4
177,1
178,28
179,1
180,19
181,1
182,25
183,5
184,3
185,29
186,6
187,5
188,4
189,3
190,7
191,10
192,7
193,8
194,2
195,2
196,8
197,1
198,5
199,5
200,5
201,5
202,1
203,6
204,1
205,4
206,4
207,2
208,4
209,1
210,2
211,4
212,1
213,4
214,2
215,1
216,2
217,1
218,5
219,1
220,1
221,1
222,1
223,2
224,4
225,3
226,1
227,2
228,6
229,2
230,1
231,2
232,31
233,3045248
234,92960
235,3580
236,1970
237,577042
238,18776
239,207052
240,696
241,1
242,21612
243,3391
244,572683
245,142484
246,72784
247,397675
248,110063
249,14821
250,215858
251,72547
252,10815
253,152435
254,146457
255,772202
256,112927
257,980831
258,107451
259,8525
260,7949
261,87668
262,53283
263,18022
264,17345
265,96985
266,17270
267,19095
268,3835
269,8937
270,1809
271,49443
272,6608
273,301
274,10993
275,95
276,1240
277,5720
278,93
279,161
280,143
281,8226
282,95
283,3247
284,80
285,72
286,6234
287,160
288,361
289,279
290,47
291,86
292,101
293,189
294,106
295,14
296,36
297,54
298,85
299,131
300,16
301,2
302,29
303,41
304,8
305,4
306,2
307,145
308,38
309,5
310,2
311,14
312,19
313,4
314,390
315,20
316,22
317,2
318,35
319,29
320,48543
321,41
322,78
323,482
324,2
325,1
326,1
327,13
328,30
329,4
330,7
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,2
340,2
341,2
342,1
343,2
344,2
345,3
346,1
347,4
348,2
349,8
350,10
351,177
352,4
353,45
354,58
355,87
356,41
357,76
358,21
359,20
360,23
361,6
362,8
363,8
364,2
365,8
366,2
367,2
368,8
369,1
370,2
371,1
372,1
373,2
374,3
375,1
376,2
377,1
378,16
379,20
380,4
381,61958
382,16375
383,28386
384,2922
385,6904
386,22783
387,1066
388,18452
389,7719
390,9
391,74
392,17
393,2
394,11
395,16318
396,16
397,16
398,11
399,2
400,2
401,60
402,65
403,142
404,39
405,8
406,87
407,1
408,1
409,120
410,54
411,1
412,13
413,6
414,36138
415,11598
416,2824
417,8194
418,3255
419,1995
420,9011
421,609
422,20819
423,3561
424,12834
425,8
426,4
427,2700
428,830
429,6570
430,1371
431,346
432,9
433,15
434,17
435,8
436,3
437,253
438,135
439,3
440,2
441,6
442,3
443,4
444,2
445,1
446,1
447,4
448,3
449,1
450,1
451,1
452,6
453,2
454,5
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,23
464,2
465,88
466,15
467,22
468,5
469,12
470,1
471,3
472,2
473,1
474,5
475,5
476,455
477,752
478,841
479,2
480,1
481,2
482,1
483,1
484,17
485,1
486,2
487,1
488,1
489,43
490,244
491,1
492,257
493,167
494,129
495,78
496,22
497,5
498,1
499,1
500,2
501,2
502,4
503,1
504,2
505,2
506,4
507,2
508,33
509,3
510,95
511,72
512,23
513,8
514,17
515,8
516,1
517,8
518,18
519,2
520,3
521,2
522,1
523,1
524,2
525,5
526,8
527,1
528,1
529,1
530,1
531,26
532,42
533,13
534,12
535,6
536,40
537,2
538,1
539,1
540,2
541,1
542,4
543,7
544,2
545,2
546,4
547,2
548,1
549,2
550,1
551,1
552,3
553,2
554,2
555,2
556,2
557,3
558,4
559,3
560,1
561,1
562,1
563,2
564,2
565,2
566,1
567,2
568,1
569,2
570,1
571,3
572,3
573,5
574,1
575,1
576,3
577,1
578,1
579,1
580,1
581,2
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,3
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,2
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,2
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
